n_estimators,max_depth,window,accuracy,mse,falling_correct,walking_correct,running_correct,sitting_correct,standing_correct,laying_correct,recover_correct
50,10,20,0.9767586265160849,0.2614656741361447,0.918148513655239,0.9890023397001876,0.9831114430746565,0.9836432415620366,0.9759771614257682,0.9699692898169567,0.9567387167377126
50,10,50,0.9499855910170727,0.25418804202356216,0.837742281059288,0.9758100325235638,0.7688814716359381,0.9654270073789861,0.9399096351112413,0.9410869686699612,0.8898040710364938
50,10,100,0.9157359261598164,0.24637237378966192,0.7204722230982192,0.9531085218593642,0.950203544724442,0.9547351231899558,0.8829520720639389,0.9004748935235739,0.8235921451213398
50,10,200,0.8776404185882034,0.23444635383643325,0.6581036570141967,0.9117708492054547,0.7207471115834471,0.9258444593470105,0.818081259502943,0.9115507800412926,0.8209417569291213
50,15,20,0.9759581649079163,0.26535192238721717,0.9073851041277086,0.9886719466176812,0.7895966729939232,0.9859546394139146,0.9735374383989057,0.9673063554897491,0.9508431086544267
50,15,50,0.9471660536393915,0.2570956564829959,0.8140856775763353,0.9722536293855217,0.966735610310774,0.9557175033041874,0.9474722213915362,0.9187720767254748,0.8916816040384153
50,15,100,0.912123380837396,0.24905227554593826,0.6894023401981131,0.949447658332301,0.9498680197506,0.9415146343811654,0.8982387322612257,0.895388775384313,0.8254815726412884
50,15,200,0.8742497861149687,0.23549342682400365,0.6583515387438161,0.8935576349890653,0.6580921476946646,0.8859352752143412,0.843614416189296,0.8954581489726697,0.7896717294323295
50,20,20,0.9755051663380462,0.26509354883692937,0.8836443350031106,0.9884827441737951,0.9786209575927189,0.9837118820531014,0.9768186566491363,0.966075356461442,0.9454745954832019
50,20,50,0.9480504460547966,0.25742033515675516,0.8141114280918886,0.9734165428199567,0.7805901587975217,0.9351952388677237,0.947390167414128,0.9335986682897595,0.8846901085536414
50,20,100,0.9048991890572806,0.24523255389833362,0.6656717222078068,0.934869097735654,0.9035286353800872,0.7552682467899892,0.8700271953718222,0.9054442308392531,0.833655819717267
50,20,200,0.8726557361409257,0.23598653894062513,0.6208478689631541,0.9040966636204033,0.750094351292553,0.9026466842088843,0.8299703462759964,0.9013972964939232,0.8174627942220809
100,10,20,0.9771557353615217,0.2595295106340396,0.9057895515669785,0.9890916217324548,0.9744387505193786,0.9876178638521964,0.9766905965844485,0.9685761143748852,0.9510173425190966
100,10,50,0.9510567327830154,0.2550605294076621,0.8659667407527276,0.9758290270157165,0.7799123604671406,0.962538269207692,0.9440377725292374,0.9355553481709707,0.8823877463407687
100,10,100,0.9162204341588535,0.2460938823964173,0.6849027062243914,0.9538611299467853,0.7677805430786016,0.9483363166414408,0.8910738890863099,0.892118645295105,0.8251102073196005
100,10,200,0.87969272370894,0.23448422680572686,0.6580400439987873,0.9135304456202691,0.719837525796079,0.9138307297770716,0.8356319882373298,0.9165216567751896,0.8126141671058938
100,15,20,0.9756805244601352,0.26510777626254234,0.9145016015975769,0.9888283590343961,0.9835363310348226,0.986003197508183,0.9764026944689329,0.963993099851713,0.9475273038212254
100,15,50,0.9492407235955411,0.25705412975367004,0.843291041404132,0.9750543939819897,0.9769656138263969,0.9493960864040425,0.9490402185155107,0.9240453402424553,0.892832666381086
100,15,100,0.9145894056802361,0.24770266782534126,0.7083403436408138,0.948649968905027,0.9438100327970445,0.9492754575564565,0.8872544795092709,0.9094578301947303,0.8400419948119081
100,15,200,0.8684977759833945,0.23231887515861732,0.5542818832063718,0.9095462839510897,0.7097168626033195,0.7349082893977845,0.8270330497459206,0.9176530122149925,0.805257001291005
100,20,20,0.9755817171384276,0.2642067880509642,0.9104300535603969,0.9887623751700632,0.9884816788018258,0.9804878301875014,0.9772261071929748,0.9572824652660001,0.9533851358548245
100,20,50,0.950520038750966,0.2565454389842313,0.8292389377600303,0.9745530658385813,0.7835350668211706,0.9624131142514093,0.9512392985362419,0.9348139567820157,0.8913312406530747
100,20,100,0.9160159877561945,0.24735598014790958,0.6859808013859274,0.9477857461418372,0.9490846086934539,0.9445577485086056,0.903602668260015,0.8973046536194371,0.8509892351901944
100,20,200,0.8722288324159176,0.23375340586776674,0.6692136704976134,0.8966188864540818,0.7463954927049206,0.9200501013215652,0.8442662754820953,0.8961956942516724,0.8016346712882833
200,10,20,0.9779625467009655,0.2606312452281038,0.8938322647649481,0.989591039408747,0.7823286679845498,0.9865406556972675,0.9797482392977898,0.9686018654351838,0.9506253632658535
200,10,50,0.9517606959349532,0.2566020425235382,0.834322657269665,0.9761896273931908,0.7709186620500628,0.9693022107330871,0.9462935235368093,0.9128594914311348,0.8877825520009592
200,10,100,0.91296246588822,0.24794155739754747,0.7253946290118343,0.9493986928898547,0.7484148358648086,0.9551002983581682,0.8918098508821461,0.9073275690667574,0.8295594231663722
200,10,200,0.8755895759358092,0.2349383435078697,0.6978381696162899,0.908519425265202,0.9276118528553303,0.9195212002016294,0.8318505292486215,0.8925684265853455,0.8208496106945878
200,15,20,0.976203308373155,0.2640818963998937,0.9090053194103345,0.9893569246603059,0.9877331058136976,0.9858217929786361,0.978043160484013,0.9682690824355937,0.9429998116373275
200,15,50,0.9486397209707451,0.25752628283919277,0.851185459146658,0.9738622920299085,0.7691402073401619,0.9492918903211844,0.9480532430438842,0.9325999404343215,0.8884599268971186
200,15,100,0.9152042387808551,0.248125258667323,0.6980140266045347,0.9501223301249173,0.9481304964772528,0.9487008875607046,0.8864534368390764,0.9124755125286532,0.835685837880586
200,15,200,0.872693673394522,0.23392183125883154,0.6050107118162491,0.898228664255455,0.9297001311633546,0.7291758171594953,0.8137147788632803,0.9228166308111764,0.8053548669267341
200,20,20,0.9762203773099234,0.2648946497951316,0.9078886829076798,0.9892797262230093,0.9733404183228824,0.9857850133589509,0.979520752369502,0.9642919744463656,0.9413594542941126
200,20,50,0.9497149923313174,0.2572954418846924,0.8634863519166242,0.9737061467974735,0.9610702665625546,0.9570424312495158,0.9460625809073651,0.9334648257507295,0.8838176610296223
200,20,100,0.9142526058325077,0.2477516784117749,0.6930942919217195,0.9511870801046293,0.9459567955289307,0.9551618123573569,0.9088994667309442,0.9081794975312203,0.8401764517705794
200,20,200,0.8755525245123078,0.23380475406145015,0.6121903817309857,0.8909147583168051,0.9298406790974363,0.9321278887846232,0.8282550834290389,0.9393506576535124,0.7810268236400184
